Brand,Capacity,Load_type,Spin_speed,Machine_type,Motor_warranty,Offer_price,Original_price,Discount,Ratings,Total_ratings,Total_reviews
GODREJ ,7,Top Load,750,Automatic,5,16990,28250,39,4.0,230,22
WHIRLPOOL ,8,Front Load,1400,Automatic,2,33990,44200,23,4.4,39,3
LG ,11,Front Load,1400,Automatic,10,64990,101990,36,4.4,4447,338
ONIDA ,7,Top Load,750,Automatic,5,13490,21990,38,4.2,14087,1501
GODREJ ,8,Top Load,1440,Semi Automatic,7,15907,21999,27,4.4,215,13
PANASONIC ,5,Top Load,700,Automatic,7,15200,16800,9,4.3,12454,1291
ONIDA ,7,Top Load,780,Automatic,7,5990,6490,7,4.2,1127,100
IFB ,5,Top Load,720,Automatic,10,21686,29190,25,4.3,4,0
ONIDA ,8,Top Load,780,Automatic,7,16990,18990,10,4.2,304,87
GODREJ ,7,Top Load,720,Automatic,7,15519,18500,16,4.2,6150,450
HAIER ,5,Top Load,800,Automatic,10,16999,22000,22,4.8,4,0
WHIRLPOOL ,9,Front Load,1200,Automatic,2,34990,45500,23,4.0,69,5
IFB ,8,Front Load,1200,Automatic,7,33990,40990,17,4.4,342,32
GODREJ ,8,Front Load,1200,Automatic,10,28990,51000,43,4.1,528,62
SANSUI ,5,Top Load,700,Automatic,7,12090,18990,36,3.7,104,11
VOLTAS ,11,Top Load,700,Automatic,5,20990,45990,54,4.2,893,64
PANASONIC ,8,Top Load,702,Automatic,2,19990,24900,19,4.3,12454,1291
HAIER ,8,Top Load,800,Automatic,12,23990,36000,33,4.3,32559,2811
THOMSON ,7,Top Load,1400,Semi Automatic,4,7590,10499,27,4.0,4575,466
SAMSUNG ,7,Top Load,1300,Semi Automatic,7,10990,14350,23,4.5,961,82
VOLTAS ,9,Top Load,1350,Automatic,5,12399,25000,50,4.4,2660,222
LG ,10,Top Load,1300,Automatic,7,20106,20490,1,4.5,1101,76
VOLTAS ,5,Front Load,1200,Automatic,12,22990,38190,39,4.0,891,98
GODREJ ,5,Top Load,1400,Semi Automatic,5,11290,13500,16,4.2,598,52
ONIDA ,5,Top Load,1300,Semi Automatic,1,11490,18990,39,4.3,44,3
MIDEA ,7,Top Load,1350,Semi Automatic,2,7890,10990,28,4.5,75,12
GODREJ ,10,Front Load,1400,Automatic,10,36990,66500,44,4.1,528,62
SAMSUNG ,8,Top Load,700,Automatic,7,20190,25500,20,3.9,16,2
VOLTAS ,11,Top Load,700,Automatic,5,21990,47990,54,4.2,893,64
ONIDA ,5,Top Load,700,Automatic,5,15990,24490,34,4.3,575,78
MARQ ,2,Top Load,700,Automatic,5,13390,16999,21,4.2,11487,1587
ONIDA ,12,Top Load,1300,Semi Automatic,10,15790,24000,34,4.1,1006,61
IFB ,7,Front Load,1000,Automatic,7,26990,32490,16,4.3,1204,115
LG ,9,Top Load,700,Automatic,7,29990,38990,23,4.0,5,0
IFB ,8,Top Load,720,Automatic,10,27270,34990,22,4.3,21400,1729
SINGER ,10,Top Load,1350,Semi Automatic,7,12690,20590,38,4.5,42,7
LG ,8,Top Load,1350,Automatic,7,13735,18293,24,4.4,2630,193
WHIRLPOOL ,5,Top Load,1400,Semi Automatic,10,13910,23550,40,4.1,79,1
WHIRLPOOL ,5,Top Load,740,Automatic,10,28699,35350,18,4.1,142,16
LG ,5,Top Load,700,Automatic,10,21524,22999,6,4.2,8195,726
SAMSUNG ,8,Top Load,700,Automatic,3,19900,28000,28,4.2,105,8
WHIRLPOOL ,5,Top Load,1450,Semi Automatic,5,13340,18999,29,4.2,195,12
IFB ,9,Top Load,1400,Automatic,10,45990,60990,24,4.4,1962,200
LG ,5,Top Load,1300,Semi Automatic,7,15990,17990,11,4.4,3123,254
HAIER ,8,Front Load,1400,Automatic,5,37490,62000,39,3.9,70,10
WHITE ,12,Top Load,1600,Semi Automatic,5,12490,16999,26,4.0,687,72
LLOYD ,5,Top Load,1300,Automatic,2,14490,19490,25,4.3,1159,85
HAIER ,5,Top Load,1000,Automatic,1,23490,24000,2,4.0,8,0
