Brand,Capacity,Load_type,Spin_speed,Machine_type,Motor_warranty,Offer_price,Original_price,Discount,Ratings,Quality
FOXSKY ,8 kg,Top Load,1450 rpm,Semi Automatic,,"₹7,790","₹19,990",61% off,4.1,518 Ratings & 33 Reviews
Voltas ,7 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹8,990","₹14,490",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
Motorola ,5 kg,Front Load,1400 rpm,Automatic,,"₹24,490","₹57,999",57% off,4.1,"8,281 Ratings & 1,055 Reviews"
SAMSUNG ,5 kg,Top Load,1300 rpm,Semi Automatic,,"₹14,990","₹20,400",26% off,4.4,"39,769 Ratings & 2,761 Reviews"
Thomson ,5 kg,Top Load,1400 RPM,Semi Automatic,5 Years Warranty,"₹7,499","₹11,499",34% off,4.1,"19,634 Ratings & 1,740 Reviews"
realme ,7 kg,Top Load,1400 RPM,Semi Automatic,,"₹7,990","₹12,490",36% off,4.2,"76,352 Ratings & 7,073 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹9,590","₹17,990",46% off,4.3,"14,645 Ratings & 1,044 Reviews"
Thomson ,10 kg,Top Load,900 rpm,Automatic,5 Years Warranty,"₹14,999","₹20,499",26% off,4.2,"5,220 Ratings & 984 Reviews"
LG ,7 kg,Front Load,1200 RPM,Automatic,10 Years Warranty,"₹29,990","₹44,490",32% off,4.4,"4,447 Ratings & 338 Reviews"
SAMSUNG ,8 kg,Front Load,1400 rpm,Automatic,20 years warranty,"₹30,990","₹48,300",35% off,4.3,"15,043 Ratings & 1,159 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹7,790","₹12,500",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
Voltas ,9 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹12,190","₹23,490",48% off,4.3,"14,645 Ratings & 1,044 Reviews"
Thomson ,9 kg,Top Load,900 rpm,Automatic,5 Years Warranty,"₹13,999","₹18,999",26% off,4.2,"5,220 Ratings & 984 Reviews"
Voltas ,14 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹16,490","₹24,590",32% off,4.3,"14,645 Ratings & 1,044 Reviews"
LG ,7 kg,Top Load,1350 rpm,Semi Automatic,,"₹11,490","₹14,190",19% off,4.4,"40,617 Ratings & 2,653 Reviews"
Godrej ,7 kg,,720 rpm,,10 Years Warranty,"₹13,990","₹27,000",48% off,4.2,"6,150 Ratings & 450 Reviews"
Whirlpool ,9 kg,Top Load,740 rpm,Automatic,,"₹22,990","₹29,200",21% off,4.1,"29,661 Ratings & 2,021 Reviews"
Voltas ,10 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹13,690","₹20,590",33% off,4.3,"14,645 Ratings & 1,044 Reviews"
LG ,9 kg,Front Load,1200 RPM,Automatic,10 Years Warranty,"₹35,990","₹52,990",32% off,4.4,"4,447 Ratings & 338 Reviews"
LG ,10 kg,,780 rpm,,10 Years Warranty,"₹32,990","₹42,990",23% off,4.4,205 Ratings & 14 Reviews
MOTOROLA ,5 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹8,190","₹13,990",41% off,4.3,"8,190 Ratings & 705 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹10,790","₹19,990",46% off,4.3,"14,645 Ratings & 1,044 Reviews"
Thomson ,9 kg,Top Load,1400 RPM,Semi Automatic,2 Years Warranty,"₹9,499","₹12,999",26% off,4.1,"19,634 Ratings & 1,740 Reviews"
Godrej ,6 kg,Front Load,1000 rpm,Automatic,10 Years Warranty,"₹22,990","₹38,000",39% off,4.1,528 Ratings & 62 Reviews
FOXSKY ,8 kg,Top Load,1450 rpm,Semi Automatic,,"₹7,790","₹19,990",61% off,4.1,518 Ratings & 33 Reviews
Voltas ,7 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹8,990","₹14,490",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
Thomson ,8 kg,Top Load,1400 RPM,Semi Automatic,5 Years Warranty,"₹8,499","₹11,499",26% off,4.1,"19,634 Ratings & 1,740 Reviews"
ONIDA ,9 kg,,780 rpm,,7 Years Warranty,"₹6,490","₹7,050",7% off,4.2,"28,931 Ratings & 3,128 Reviews"
Whirlpool ,7 kg,Top Load,740 rpm,Automatic,,"₹14,990","₹18,950",20% off,4.2,"22,559 Ratings & 1,576 Reviews"
Voltas ,12 kg,,1350 rpm,,,"₹14,990","₹20,990",28% off,4.3,"14,645 Ratings & 1,044 Reviews"
realme ,7 kg,Top Load,1400 RPM,Semi Automatic,,"₹7,990","₹12,490",36% off,4.2,"76,352 Ratings & 7,073 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹7,790","₹12,500",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
Whirlpool ,10 kg,,1400 RPM,Semi Automatic,10 Years Warranty,"₹15,990","₹20,950",23% off,4.4,"27,131 Ratings & 1,912 Reviews"
Godrej ,5 kg,,670 rpm,Automatic,10 Years Warranty,"₹15,490","₹28,000",44% off,4.2,"6,150 Ratings & 450 Reviews"
Voltas ,9 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹12,190","₹23,490",48% off,4.3,"14,645 Ratings & 1,044 Reviews"
IFB ,8 kg,,1200 RPM,,10 Years Warranty,"₹32,990","₹43,790",24% off,4.3,"86,882 Ratings & 8,633 Reviews"
Haier ,,,1400 rpm,,5 Years Warranty,"₹59,990","₹84,990",29% off,4.3,"1,249 Ratings & 154 Reviews"
Whirlpool ,11 kg,Top Load,1400 rpm,Semi Automatic,10 Years Warranty,"₹16,140","₹21,900",26% off,4.4,"1,197 Ratings & 92 Reviews"
IFB ,10 kg,,1400 RPM,Automatic,10 Years Warranty,"₹47,990","₹62,990",23% off,4.3,"86,882 Ratings & 8,633 Reviews"
LG ,6 kg,Top Load,1300 rpm,Semi Automatic,,"₹9,990","₹14,490",31% off,4.4,"40,617 Ratings & 2,653 Reviews"
LG ,7 kg,Top Load,1350 rpm,Semi Automatic,,"₹11,490","₹14,190",19% off,4.4,"40,617 Ratings & 2,653 Reviews"
Godrej ,7 kg,,720 rpm,,10 Years Warranty,"₹13,990","₹27,000",48% off,4.2,"6,150 Ratings & 450 Reviews"
FOXSKY ,5 kg,Top Load,1300 rpm,Semi Automatic,2 Years Warranty,"₹7,690","₹18,490",58% off,4.1,518 Ratings & 33 Reviews
Whirlpool ,6 kg,Top Load,740 rpm,Automatic,,"₹15,775","₹17,857",11% off,4.3,"14,851 Ratings & 1,091 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹10,790","₹19,990",46% off,4.3,"14,645 Ratings & 1,044 Reviews"
FOXSKY ,8 kg,Top Load,1450 rpm,Semi Automatic,,"₹7,790","₹19,990",61% off,4.1,518 Ratings & 33 Reviews
SAMSUNG ,7 kg,Top Load,700 rpm,Automatic,20 years warranty,"₹19,190","₹24,000",20% off,4.3,"8,992 Ratings & 810 Reviews"
LG ,5 kg,,1000 rpm,,,"₹24,990","₹33,990",26% off,4.4,"5,473 Ratings & 441 Reviews"
LG ,7 kg,Top Load,700 rpm,Automatic,10 Years Warranty,"₹17,490","₹20,990",16% off,4.4,"70,666 Ratings & 5,202 Reviews"
LG ,,,1200 RPM,,10 Years Warranty,"₹34,990","₹54,490",35% off,4.4,"4,447 Ratings & 338 Reviews"
MOTOROLA ,5 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹8,190","₹13,990",41% off,4.3,"8,190 Ratings & 705 Reviews"
Voltas ,7 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹8,990","₹14,490",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
Godrej ,7 kg,Top Load,720 RPM,Automatic,10 Years Warranty,"₹13,790","₹19,890",30% off,4.1,"3,201 Ratings & 245 Reviews"
Thomson ,10 kg,,1400 RPM,,5 Years Warranty,"₹10,999","₹14,999",26% off,4.1,"19,634 Ratings & 1,740 Reviews"
realme ,7 kg,Top Load,1400 RPM,Semi Automatic,,"₹7,990","₹12,490",36% off,4.2,"76,352 Ratings & 7,073 Reviews"
IFB ,8 kg,,1200 RPM,,10 Years Warranty,"₹33,990","₹45,990",26% off,4.3,"86,882 Ratings & 8,633 Reviews"
BOSCH ,7 kg,Front Load,1200 rpm,Automatic,10 Years Warranty,"₹29,990","₹49,990",40% off,4.2,"2,512 Ratings & 187 Reviews"
Haier ,9 kg,,1400 rpm,,20 Years Warranty,"₹35,990","₹49,990",28% off,4.3,"1,249 Ratings & 154 Reviews"
Haier ,,,1300 rpm,,5 Years Warranty,"₹11,290","₹18,900",40% off,4.3,"2,540 Ratings & 144 Reviews"
SAMSUNG ,9 kg,Front Load,1400 rpm,Automatic,20 years warranty,"₹34,990","₹54,900",36% off,4.3,"15,043 Ratings & 1,159 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹7,790","₹12,500",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
Voltas ,9 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹12,190","₹23,490",48% off,4.3,"14,645 Ratings & 1,044 Reviews"
Haier ,8 kg,,1200 rpm,,12 Years Warranty,"₹32,990","₹46,990",29% off,4.3,"1,249 Ratings & 154 Reviews"
TCL ,5 kg,,1400 rpm,Automatic,,"₹14,990","₹35,990",58% off,4,158 Ratings & 19 Reviews
LG ,7 kg,Top Load,1350 rpm,Semi Automatic,,"₹11,490","₹14,190",19% off,4.4,"40,617 Ratings & 2,653 Reviews"
IFB ,10 kg,,1400 RPM,Automatic,10 Years Warranty,"₹47,990","₹62,990",23% off,4.3,"86,882 Ratings & 8,633 Reviews"
